id;book_title;author;publisher;publication_date;data;data_content_type
1;Handmade Cotton Table CSS;Mayotte Dynamic SAS;digital forecast Bahrain;2020-05-03;../fake-data/blob/hipster.png;image/png
2;Developer compress transmit;synthesizing Director Concrete;Sleek Rubber Mouse generate;2020-05-03;../fake-data/blob/hipster.png;image/png
3;Sudan connect Overpass;Accountability;Texas auxiliary;2020-05-03;../fake-data/blob/hipster.png;image/png
4;Cotton Representative software;Bedfordshire calculating Toys;connecting;2020-05-04;../fake-data/blob/hipster.png;image/png
5;Soft;FTP Points;violet Generic;2020-05-04;../fake-data/blob/hipster.png;image/png
6;Mouse bus HTTP;wireless Consultant XML;Developer orchestrate;2020-05-03;../fake-data/blob/hipster.png;image/png
7;Port turn-key Australian Dollar;panel;transmitting grow;2020-05-04;../fake-data/blob/hipster.png;image/png
8;relationships;Coordinator backing up Ports;syndicate;2020-05-03;../fake-data/blob/hipster.png;image/png
9;Soft;Chicken indigo;Personal Loan Account;2020-05-03;../fake-data/blob/hipster.png;image/png
10;Sweden mobile Product;Web Checking Account Industrial;back-end Future-proofed compressing;2020-05-03;../fake-data/blob/hipster.png;image/png
